"","gene_id","log2FoldChange","pvalue","padj","FC","direction","prob","miRNA_family","maxinternum"
"1","hsa-let-7b",-2.70803223618725,2.03924769995118e-31,3.80093112963124e-30,6.53429793236146,"down","let-7","let-7-5p=miR-98-5p",3
"2","hsa-let-7c",-1.26699425351725,0.00374458591737412,0.00813144708918457,2.40659646612519,"down","let-7","let-7-5p=miR-98-5p",3
"3","hsa-let-7d",-2.74738972840482,6.81666190921905e-35,1.63356433610214e-33,6.71501083914658,"down","let-7","let-7-5p=miR-98-5p",3
"4","hsa-let-7f-1",5.07629321741334,1.41255649058933e-41,4.98855476413389e-40,33.7377818105653,"up","let-7","let-7-5p=miR-98-5p",3
"5","hsa-let-7f-2",5.12072206800266,4.02250352547081e-43,1.58770580328877e-41,34.7929250818883,"up","let-7","let-7-5p=miR-98-5p",3
"6","hsa-let-7g",2.38861784637146,1.76926724860439e-15,1.29041122153646e-14,5.23655440446204,"up","let-7","let-7-5p=miR-98-5p",3
"7","hsa-mir-1-1",6.66881871222365,6.09034646737271e-14,4.12790149455262e-13,101.745326090915,"up","mir-1","miR-1-3p=206-3p",5
"8","hsa-mir-1-2",5.74635020272343,3.91255553449051e-13,2.47672147513503e-12,53.6813929531131,"up","mir-1","miR-1-3p=206-3p",5
"9","hsa-mir-101-1",5.80756903685465,4.37885716938152e-63,8.11856318245303e-61,56.0083117485727,"up","mir-101","miR-101-3p_1",4
"10","hsa-mir-101-1",5.80756903685465,4.37885716938152e-63,8.11856318245303e-61,56.0083117485727,"up","mir-101","miR-101a-3p_2=101b-3p_1=101b-3p_2",3
"11","hsa-mir-101-2",5.79547591417562,4.83967998953981e-63,8.11856318245303e-61,55.5407946739627,"up","mir-101","miR-101-3p_1",4
"12","hsa-mir-101-2",5.79547591417562,4.83967998953981e-63,8.11856318245303e-61,55.5407946739627,"up","mir-101","miR-101a-3p_2=101b-3p_1=101b-3p_2",3
"13","hsa-mir-103a-1",1.73265907712347,7.59406880601548e-10,3.46640827811999e-09,3.32339800228742,"up","mir-103","miR-103-3p=107-3p",3
"14","hsa-mir-103a-2",1.73386277647099,6.58081263859752e-10,3.02446937020475e-09,3.3261720059365,"up","mir-103","miR-103-3p=107-3p",3
"15","hsa-mir-10a",4.25616339545711,8.72826708545055e-36,2.16913600531012e-34,19.1087750750997,"up","mir-10","miR-10-5p",3
"16","hsa-mir-10b",2.61209578049324,5.35347275380079e-12,2.92047172178889e-11,6.11391197207352,"up","mir-10","miR-10-5p",3
"17","hsa-mir-125a",-2.92273437538486,5.46125822111516e-27,7.47858013544546e-26,7.58281946688012,"down","mir-125","miR-125-5p=351-5p",4
"18","hsa-mir-125b-1",-1.57513357584021,9.79394799159818e-08,3.61084566063867e-07,2.97963079068688,"down","mir-125","miR-125-5p=351-5p",4
"19","hsa-mir-125b-2",-1.53839730107627,2.17854827854938e-07,7.73442272437371e-07,2.90471637405692,"down","mir-125","miR-125-5p=351-5p",4
"20","hsa-mir-128-2",1.68567900583026,2.82742818351702e-12,1.6078002636779e-11,3.21691765217038,"up","mir-128","miR-128-3p",19
"21","hsa-mir-129-1",-3.78423850299317,8.38735012267689e-18,7.03488991539524e-17,13.7774644835913,"down","mir-129","miR-129-3p",3
"22","hsa-mir-129-1",-3.78423850299317,8.38735012267689e-18,7.03488991539524e-17,13.7774644835913,"down","mir-129","miR-129-5p",14
"23","hsa-mir-129-2",-3.79789182718435,2.17676486779848e-16,1.71836379563857e-15,13.9084700696775,"down","mir-129","miR-129-3p",3
"24","hsa-mir-129-2",-3.79789182718435,2.17676486779848e-16,1.71836379563857e-15,13.9084700696775,"down","mir-129","miR-129-5p",14
"25","hsa-mir-130a",2.36164484519842,1.11549816906121e-12,6.68302920928637e-12,5.13955996527268,"up","mir-130","miR-130-3p=301-3p",3
"26","hsa-mir-132",-1.02321569415488,0.000256420162778659,0.000674736977350904,2.03244412951427,"down","mir-132","miR-132-3p=212-3p",3
"27","hsa-mir-133a-1",-2.92162908914637,2.89975891239388e-09,1.23932371351356e-08,7.57701229622691,"down","mir-133","miR-133-3p",4
"28","hsa-mir-133a-1",-2.92162908914637,2.89975891239388e-09,1.23932371351356e-08,7.57701229622691,"down","mir-133","miR-133-3p_1",3
"29","hsa-mir-133a-2",-3.12594976799754,5.7473492208383e-11,2.98951265673062e-10,8.72980705523401,"down","mir-133","miR-133-3p",4
"30","hsa-mir-133a-2",-3.12594976799754,5.7473492208383e-11,2.98951265673062e-10,8.72980705523401,"down","mir-133","miR-133-3p_1",3
"31","hsa-mir-135b",9.06869906645223,6.92393491948543e-20,6.54917870745415e-19,536.970516689672,"up","mir-135","miR-135-5p",5
"32","hsa-mir-139",-4.24351288821954,3.86530589864637e-39,1.12766098173553e-37,18.9419491471486,"down","mir-139","miR-139-5p",3
"33","hsa-mir-141",5.76498410439685,1.91979480685176e-50,1.43131368377503e-48,54.3792407915052,"up","mir-141","miR-141-3p=200a-3p",5
"34","hsa-mir-142",6.29670688796975,1.30214045299074e-54,1.45622707326131e-52,78.6135932196756,"up","mir-142","miR-142-3p_1",3
"35","hsa-mir-142",6.29670688796975,1.30214045299074e-54,1.45622707326131e-52,78.6135932196756,"up","mir-142","miR-142-3p_2",5
"36","hsa-mir-142",6.29670688796975,1.30214045299074e-54,1.45622707326131e-52,78.6135932196756,"up","mir-142","miR-142-5p",4
"37","hsa-mir-143",4.36492901669015,4.59272017546147e-14,3.14460738544352e-13,20.6050922379181,"up","mir-143","miR-143-3p",6
