survival,gene_id,mmu-miR,,miRNA_family,log2FoldChange,pvalue,padj,FC,direction,prob,maxinternum
1,hsa-let-7b,"mmu-let-7b-5p +
mmu-let-7c-5p +",let-7-5p=miR-98-5p,let-7-5p=miR-98-5p,-2.708032236,2.04E-31,3.80E-30,6.534297932,down,let-7,3
0,hsa-let-7c,,,let-7-5p=miR-98-5p,-1.266994254,0.003744586,0.008131447,2.406596466,down,let-7,3
1,hsa-let-7d,mmu-let-7d-5p +,,let-7-5p=miR-98-5p,-2.747389728,6.82E-35,1.63E-33,6.715010839,down,let-7,3
1,hsa-let-7f-1,"mmu-let-7f-5p +
mmu-let-7f-1-3p - ",,let-7-5p=miR-98-5p,5.076293217,1.41E-41,4.99E-40,33.73778181,up,let-7,3
1,hsa-let-7f-2,"mmu-let-7f-5p +
mmu-let-7f-2-3p -",,let-7-5p=miR-98-5p,5.120722068,4.02E-43,1.59E-41,34.79292508,up,let-7,3
1,hsa-let-7g,"mmu-let-7g-5p +
mmu-let-7g-3p -",,let-7-5p=miR-98-5p,2.388617846,1.77E-15,1.29E-14,5.236554404,up,let-7,3
0,hsa-mir-1-1,,,miR-1-3p=206-3p,6.668818712,6.09E-14,4.13E-13,101.7453261,up,mir-1,5
0,hsa-mir-1-2,,,miR-1-3p=206-3p,5.746350203,3.91E-13,2.48E-12,53.68139295,up,mir-1,5
1,hsa-mir-101-1,"mmu-miR-101a-5p -
mmu-miR-101a-3p +
mmu-miR-101c -",miR-101-3p_1,miR-101-3p_1,5.807569037,4.38E-63,8.12E-61,56.00831175,up,mir-101,4
1,hsa-mir-101-1,"mmu-miR-101a-5p -
mmu-miR-101a-3p +
mmu-miR-101c -",,miR-101a-3p_2=101b-3p_1=101b-3p_2,5.807569037,4.38E-63,8.12E-61,56.00831175,up,mir-101,3
1,hsa-mir-101-2,"mmu-miR-101b-5p -
mmu-miR-101a-3p -
mmu-miR-101c -",,miR-101-3p_1,5.795475914,4.84E-63,8.12E-61,55.54079467,up,mir-101,4
1,hsa-mir-101-2,,,miR-101a-3p_2=101b-3p_1=101b-3p_2,5.795475914,4.84E-63,8.12E-61,55.54079467,up,mir-101,3
1,hsa-mir-103a-1,"mmu-miR-103-3p +
mmu-miR-103-1-5p +
mmu-miR-103-2-5p +",,miR-103-3p=107-3p,1.732659077,7.59E-10,3.47E-09,3.323398002,up,mir-103,3
1,hsa-mir-103a-2,"mmu-miR-103-3p +
mmu-miR-103-2-5p + 
mmu-miR-103-1-5p + ",miR-103-3p=107-3p,miR-103-3p=107-3p,1.733862776,6.58E-10,3.02E-09,3.326172006,up,mir-103,3
0,hsa-mir-125a,,,miR-125-5p=351-5p,-2.922734375,5.46E-27,7.48E-26,7.582819467,down,mir-125,4
1,hsa-mir-125b-1,"mmu-miR-125b-5p  +
mmu-miR-125b-1-3p -",miR-125-5p=351-5p,miR-125-5p=351-5p,-1.575133576,9.79E-08,3.61E-07,2.979630791,down,mir-125,4
1,hsa-mir-125b-2,X,,miR-125-5p=351-5p,-1.538397301,2.18E-07,7.73E-07,2.904716374,down,mir-125,4
1,hsa-mir-128-2,"mmu-miR-128-3p +
mmu-miR-128-2-5p -",miR-128-3p,miR-128-3p,1.685679006,2.83E-12,1.61E-11,3.216917652,up,mir-128,19
0,hsa-mir-129-1,,,miR-129-5p,-3.784238503,8.39E-18,7.03E-17,13.77746448,down,mir-129,14
0,hsa-mir-129-2,,,miR-129-5p,-3.797891827,2.18E-16,1.72E-15,13.90847007,down,mir-129,14
0,hsa-mir-130a,,,miR-130-3p=301-3p,2.361644845,1.12E-12,6.68E-12,5.139559965,up,mir-130,3
0.057,hsa-mir-132,"mmu-miR-132-3p +
mmu-miR-132-5p -",miR-132-3p=212-3p,miR-132-3p=212-3p,-1.023215694,0.00025642,0.000674737,2.03244413,down,mir-132,3
0,hsa-mir-133a-1,,,miR-133-3p,-2.921629089,2.90E-09,1.24E-08,7.577012296,down,mir-133,4
0,hsa-mir-133a-1,,,miR-133-3p_1,-2.921629089,2.90E-09,1.24E-08,7.577012296,down,mir-133,3
0,hsa-mir-133a-2,,,miR-133-3p,-3.125949768,5.75E-11,2.99E-10,8.729807055,down,mir-133,4
0,hsa-mir-133a-2,,,miR-133-3p_1,-3.125949768,5.75E-11,2.99E-10,8.729807055,down,mir-133,3
0,hsa-mir-135b,,,miR-135-5p,9.068699066,6.92E-20,6.55E-19,536.9705167,up,mir-135,5
0.062,hsa-mir-139,"mmu-miR-139-5p +
mmu-miR-139-3p -",miR-139-5p,miR-139-5p,-4.243512888,3.87E-39,1.13E-37,18.94194915,down,mir-139,3
1,hsa-mir-141,,,miR-141-3p=200a-3p,5.764984104,1.92E-50,1.43E-48,54.37924079,up,mir-141,3
0,hsa-mir-142,,,miR-142-3p_1,6.296706888,1.30E-54,1.46E-52,78.61359322,up,mir-142,3
0,hsa-mir-142,,,miR-142-3p_2,6.296706888,1.30E-54,1.46E-52,78.61359322,up,mir-142,5
0,hsa-mir-142,,,miR-142-5p,6.296706888,1.30E-54,1.46E-52,78.61359322,up,mir-142,4
0.088,hsa-mir-143,"mmu-miR-143-3p +
mmu-miR-143-5p -",miR-143-3p,miR-143-3p,4.364929017,4.59E-14,3.14E-13,20.60509224,up,mir-143,6
