,source,target,inter
1,miR-155-5p,NONMMUG053867.1,3
2,miR-155-5p,NONMMUG045662.3,3
3,miR-155-5p,NONMMUG029868.3,4
4,miR-15-5p,NONMMUG084608.2,3
5,miR-15-5p,NONMMUG032557.2,3
6,miR-15-5p,NONMMUG035402.2,4
7,miR-15-5p,NONMMUG015569.3,3
8,miR-15-5p,NONMMUG033067.3,3
9,miR-141-3p,NONMMUG012821.3,3
10,miR-17-5p,NONMMUG018615.2,3
11,miR-17-5p,NONMMUG004084.2,3
12,miR-17-5p,NONMMUG010287.2,3
13,miR-17-5p,NONMMUG021081.2,3
14,miR-17-5p,NONMMUG038049.2,4
15,miR-17-5p,NONMMUG081423.1,3
16,miR-17-5p,NONMMUG015569.3,3
17,miR-17-5p,NONMMUG029868.3,3
18,miR-181-5p,NONMMUG008634.2,3
19,miR-181-5p,NONMMUG008648.2,19
20,miR-181-5p,NONMMUG037820.3,3
21,miR-181-5p,NONMMUG029868.3,3
22,miR-101a-3p,NONMMUG026043.2,3
23,miR-132-3p,NONMMUG038314.3,3
24,miR-132-3p,NONMMUG021079.2,3
25,miR-132-3p,NONMMUG024854.2,3
26,miR-143-3p,NONMMUG004888.2,3
27,miR-143-3p,NONMMUG008648.2,4
28,miR-143-3p,NONMMUG031025.2,3
29,miR-143-3p,NONMMUG032544.2,3
30,miR-143-3p,NONMMUG032550.2,6
31,miR-143-3p,NONMMUG015818.3,4
32,miR-143-3p,NONMMUG063564.2,3
33,miR-143-3p,NONMMUG021081.2,5
34,miR-143-3p,NONMMUG085369.1,3
35,miR-143-3p,NONMMUG094550.1,3
36,miR-143-3p,NONMMUG042692.3,3
37,miR-139-5p,NONMMUG039883.2,3
38,miR-153-3p,NONMMUG021081.2,3
39,miR-182-5p,NONMMUG011676.2,3
40,miR-194-5p,NONMMUG029562.2,3
41,miR-194-5p,NONMMUG021081.2,3
42,miR-125-5p,NONMMUG065517.1,4
43,miR-125-5p,NONMMUG039070.2,3
44,miR-192-5p,NONMMUG008634.2,3
45,miR-192-5p,NONMMUG016169.2,3
46,miR-103-3p,NONMMUG084608.2,3
47,miR-128-3p,NONMMUG009325.3,3
48,miR-128-3p,NONMMUG021614.2,3
49,miR-128-3p,NONMMUG001802.2,3
50,miR-128-3p,NONMMUG021079.2,3
51,miR-128-3p,NONMMUG067335.1,10
52,miR-128-3p,NONMMUG077936.1,3
53,miR-128-3p,NONMMUG084236.1,19
54,miR-128-3p,NONMMUG035335.3,3
55,miR-183-5p,NONMMUG026289.2,3
56,miR-183-5p,NONMMUG067335.1,6
57,miR-183-5p,NONMMUG032651.2,4
58,miR-183-5p,NONMMUG077936.1,3
59,miR-183-5p,NONMMUG045662.3,3
60,miR-155-5p,Cebpb,1
61,miR-155-5p,Rhoa,1
62,miR-15-5p,Wnt3a,1
63,miR-15-5p,Ccnd1,1
64,miR-15-5p,Bcl2,1
65,miR-141-3p,Dlx5,1
66,miR-17-5p,Stat3,1
67,miR-141-3p,Cdh11,1
68,miR-181-5p,Bcl2,1
69,miR-181-5p,Cd69,1
70,miR-141-3p,Zeb2,1
71,miR-141-3p,Zeb1,1
72,miR-155-5p,Ripk1,1
73,miR-155-5p,Fadd,1
74,miR-155-5p,Ikbke,1
75,miR-155-5p,Trp53inp1,1
76,miR-101a-3p,Ptgs2,1
77,miR-155-5p,Rheb,1
78,miR-155-5p,Socs1,1
79,miR-17-5p,Mapk14,1
80,miR-101a-3p,Atxn1,1
81,miR-155-5p,Aicda,1
82,miR-181-5p,Tcra,1
83,miR-155-5p,Maf,1
84,miR-155-5p,Spi1,1
85,miR-132-3p,Mecp2,1
86,miR-15-5p,Cadm1,1
87,miR-17-5p,Rbl2,1
88,miR-155-5p,Fgf7,1
89,miR-155-5p,Inpp5d,1
90,miR-143-3p,Prkce,1
91,miR-155-5p,Tab2,1
92,miR-143-3p,Vcan,1
93,miR-139-5p,Foxo1,1
94,miR-143-3p,Elk1,1
95,miR-181-5p,Hoxa,1
96,miR-101a-3p,COX2,1
97,miR-132-3p,Ep300,1
98,miR-132-3p,Kdm5a,1
99,miR-132-3p,Btg2,1
100,miR-132-3p,Paip2,1
101,miR-155-5p,Pea15a,1
102,miR-153-3p,Tbx3,1
103,miR-15-5p,Eln,1
104,miR-101a-3p,Dusp1,1
105,miR-101a-3p,Akt1,1
106,miR-132-3p,Mmp9,1
107,miR-182-5p,Foxo3,1
108,miR-143-3p,Kras,1
109,miR-143-3p,Rreb1,1
110,miR-155-5p,Fos,1
111,miR-132-3p,Ptbp2,1
112,miR-143-3p,Ptn,1
113,miR-194-5p,Fzd6,1
114,miR-155-5p,Tspan14,1
115,miR-155-5p,Lpin1,1
116,miR-155-5p,Pmaip1,1
117,miR-125-5p,Cbx7,1
118,miR-181-5p,Cbx7,1
119,miR-15-5p,Ccnt2,1
120,miR-141-3p,Mapk14,1
121,miR-192-5p,Zeb2,1
122,miR-17-5p,Bcl2l11,1
123,miR-132-3p,Nr4a2,1
124,miR-132-3p,Arhgap32,1
125,miR-17-5p,Sqstm1,1
126,miR-182-5p,Clic5,1
127,miR-181-5p,Msx2,1
128,miR-182-5p,Tbx1,1
129,miR-103-3p,Nf1,1
130,miR-128-3p,Nf1,1
131,miR-125-5p,Vsir,1
132,miR-181-5p,Tgfbi,1
133,miR-181-5p,Tbr1,1
134,miR-181-5p,Rgs4,1
135,miR-181-5p,Gata6,1
136,miR-155-5p,Cldn1,1
137,miR-181-5p,Acvr2a,1
138,miR-17-5p,Dnmt3a,1
139,miR-17-5p,Mcl1,1
140,miR-17-5p,Pten,1
141,miR-17-5p,Foxp1,1
142,miR-181-5p,Hoxa11,1
143,miR-128-3p,Foxp1,1
144,miR-183-5p,Zeb2,1
145,miR-181-5p,Xiap,1
146,miR-181-5p,Mecp2,1
147,miR-17-5p,Zfpm2,1
148,miR-155-5p,Hdac4,1
149,miR-128-3p,Runx1,1
150,miR-128-3p,Pax3,1
151,miR-132-3p,Foxo3,1
152,miR-125-5p,Ptpn18,1
153,miR-125-5p,Ptpn7,1
154,miR-125-5p,Ppp1ca,1
155,miR-125-5p,Ppp2ca,1
156,miR-155-5p,Nr1h3,1
157,miR-181-5p,Il1a,1
158,miR-141-3p,Slc25a3,1
159,miR-17-5p,Hbp1,1
160,miR-183-5p,Lrp6,1
161,miR-125-5p,Traf6,1
162,miR-17-5p,Trp53inp1,1
163,miR-17-5p,Tbx3,1
164,miR-17-5p,Fgf10,1
165,miR-17-5p,Shox2,1
166,miR-17-5p,Osr1,1
167,miR-143-3p,Igfbp5,1
168,miR-155-5p,Cd209a,1
169,miR-17-5p,Timp2,1
170,miR-17-5p,Timp1,1
171,miR-17-5p,Tceal1,1
172,miR-182-5p,Fbxw7,1
173,miR-132-3p,Ache,1
174,miR-17-5p,Vegfa,1
175,miR-15-5p,Vegfa,1
176,miR-15-5p,Cd40,1
177,miR-15-5p,Fgf2,1
178,miR-155-5p,Gsk3b,1
179,miR-141-3p,Slc23a2,1
180,miR-125-5p,Hif1an,1
181,miR-143-3p,Dnmt3a,1
182,miR-155-5p,Csnk1a1,1
183,miR-153-3p,Cacna1c,1
184,miR-17-5p,Ulk1,1
185,miR-128-3p,Abhd5,1
186,miR-17-5p,Smad5,1
187,miR-17-5p,Bmpr2,1
188,miR-139-5p,Rho,1
189,miR-143-3p,Map3k7,1
190,miR-182-5p,Akt1,1
191,miR-182-5p,Ctbp2,1
192,miR-141-3p,Igf2,1
193,miR-17-5p,Tcf7l2,1
194,miR-181-5p,Idh1,1
195,miR-139-5p,Notch1,1
196,miR-139-5p,Irs1,1
197,miR-132-3p,Mapt,1
198,miR-153-3p,Cltc,1
199,miR-153-3p,Clcn4,1
200,miR-153-3p,Slc4a4,1
201,miR-155-5p,Arntl,1
202,miR-132-3p,Sox4,1
203,miR-128-3p,Dcx,1
204,miR-183-5p,Sdc2,1
205,miR-182-5p,Myod1,1
206,miR-17-5p,Egln1,1
207,miR-182-5p,Tlr4,1
208,miR-101a-3p,Ackr3,1
209,miR-17-5p,Piwil2,1
210,miR-192-5p,H3f3b,1
211,miR-101a-3p,Neurod1,1
212,miR-125-5p,Uvrag,1
213,miR-125-5p,Stat3,1
214,miR-125-5p,Ifng,1
215,miR-125-5p,Il13,1
216,miR-181-5p,Stat3,1
