,source,class
1,miR-155-5p,miRNA
2,miR-15-5p,miRNA
3,miR-141-3p,miRNA
4,miR-17-5p,miRNA
5,miR-181-5p,miRNA
6,miR-101a-3p,miRNA
7,miR-132-3p,miRNA
8,miR-143-3p,miRNA
9,miR-139-5p,miRNA
10,miR-153-3p,miRNA
11,miR-182-5p,miRNA
12,miR-194-5p,miRNA
13,miR-125-5p,miRNA
14,miR-192-5p,miRNA
15,miR-103-3p,miRNA
16,miR-128-3p,miRNA
17,miR-183-5p,miRNA
18,NONMMUG053867.1,lnc-gene
19,NONMMUG045662.3,lnc-gene
20,NONMMUG029868.3,lnc-gene
21,NONMMUG084608.2,lnc-gene
22,NONMMUG032557.2,lnc-gene
23,NONMMUG035402.2,lnc-gene
24,NONMMUG015569.3,lnc-gene
25,NONMMUG033067.3,lnc-gene
26,NONMMUG012821.3,lnc-gene
27,NONMMUG018615.2,lnc-gene
28,NONMMUG004084.2,lnc-gene
29,NONMMUG010287.2,lnc-gene
30,NONMMUG021081.2,lnc-gene
31,NONMMUG038049.2,lnc-gene
32,NONMMUG081423.1,lnc-gene
33,NONMMUG008634.2,lnc-gene
34,NONMMUG008648.2,lnc-gene
35,NONMMUG037820.3,lnc-gene
36,NONMMUG026043.2,lnc-gene
37,NONMMUG038314.3,lnc-gene
38,NONMMUG021079.2,lnc-gene
39,NONMMUG024854.2,lnc-gene
40,NONMMUG004888.2,lnc-gene
41,NONMMUG031025.2,lnc-gene
42,NONMMUG032544.2,lnc-gene
43,NONMMUG032550.2,lnc-gene
44,NONMMUG015818.3,lnc-gene
45,NONMMUG063564.2,lnc-gene
46,NONMMUG085369.1,lnc-gene
47,NONMMUG094550.1,lnc-gene
48,NONMMUG042692.3,lnc-gene
49,NONMMUG039883.2,lnc-gene
50,NONMMUG011676.2,lnc-gene
51,NONMMUG029562.2,lnc-gene
52,NONMMUG065517.1,lnc-gene
53,NONMMUG039070.2,lnc-gene
54,NONMMUG016169.2,lnc-gene
55,NONMMUG009325.3,lnc-gene
56,NONMMUG021614.2,lnc-gene
57,NONMMUG001802.2,lnc-gene
58,NONMMUG067335.1,lnc-gene
59,NONMMUG077936.1,lnc-gene
60,NONMMUG084236.1,lnc-gene
61,NONMMUG035335.3,lnc-gene
62,NONMMUG026289.2,lnc-gene
63,NONMMUG032651.2,lnc-gene
64,Cebpb,coding-gene
65,Rhoa,coding-gene
66,Wnt3a,coding-gene
67,Ccnd1,coding-gene
68,Bcl2,coding-gene
69,Dlx5,coding-gene
70,Stat3,coding-gene
71,Cdh11,coding-gene
72,Cd69,coding-gene
73,Zeb2,coding-gene
74,Zeb1,coding-gene
75,Ripk1,coding-gene
76,Fadd,coding-gene
77,Ikbke,coding-gene
78,Trp53inp1,coding-gene
79,Ptgs2,coding-gene
80,Rheb,coding-gene
81,Socs1,coding-gene
82,Mapk14,coding-gene
83,Atxn1,coding-gene
84,Aicda,coding-gene
85,Tcra,coding-gene
86,Maf,coding-gene
87,Spi1,coding-gene
88,Mecp2,coding-gene
89,Cadm1,coding-gene
90,Rbl2,coding-gene
91,Fgf7,coding-gene
92,Inpp5d,coding-gene
93,Prkce,coding-gene
94,Tab2,coding-gene
95,Vcan,coding-gene
96,Foxo1,coding-gene
97,Elk1,coding-gene
98,Hoxa,coding-gene
99,COX2,coding-gene
100,Ep300,coding-gene
101,Kdm5a,coding-gene
102,Btg2,coding-gene
103,Paip2,coding-gene
104,Pea15a,coding-gene
105,Tbx3,coding-gene
106,Eln,coding-gene
107,Dusp1,coding-gene
108,Akt1,coding-gene
109,Mmp9,coding-gene
110,Foxo3,coding-gene
111,Kras,coding-gene
112,Rreb1,coding-gene
113,Fos,coding-gene
114,Ptbp2,coding-gene
