source,target,inter
miR-141-3p,NONMMUG012821.3,3
miR-155-5p,NONMMUG053867.1,3
miR-155-5p,NONMMUG045662.3,3
miR-155-5p,NONMMUG029868.3,4
miR-143-3p,NONMMUG004888.2,3
miR-143-3p,NONMMUG008648.2,4
miR-143-3p,NONMMUG031025.2,3
miR-143-3p,NONMMUG032544.2,3
miR-143-3p,NONMMUG032550.2,6
miR-143-3p,NONMMUG015818.3,4
miR-143-3p,NONMMUG063564.2,3
miR-143-3p,NONMMUG021081.2,5
miR-143-3p,NONMMUG085369.1,3
miR-143-3p,NONMMUG094550.1,3
miR-143-3p,NONMMUG042692.3,3
miR-153-3p,NONMMUG021081.2,3
miR-132-3p,NONMMUG038314.3,3
miR-132-3p,NONMMUG021079.2,3
miR-132-3p,NONMMUG024854.2,3
miR-375-3p,NONMMUG050342.2,3
miR-375-3p,NONMMUG026522.2,3
miR-375-3p,NONMMUG030273.3,3
miR-375-3p,NONMMUG032550.2,3
miR-375-3p,NONMMUG033250.2,3
miR-375-3p,NONMMUG035509.2,3
miR-375-3p,NONMMUG045553.2,3
miR-375-3p,NONMMUG001802.2,3
miR-375-3p,NONMMUG057409.1,3
miR-375-3p,NONMMUG057419.1,3
miR-375-3p,NONMMUG015144.3,4
miR-375-3p,NONMMUG018032.2,3
miR-375-3p,NONMMUG021079.2,3
miR-375-3p,NONMMUG024632.3,3
miR-375-3p,NONMMUG035402.2,4
miR-375-3p,NONMMUG038184.3,3
miR-375-3p,NONMMUG029868.3,3
miR-375-3p,NONMMUG035335.3,3
miR-375-3p,NONMMUG086368.2,4
miR-24-3p,NONMMUG019950.2,3
miR-24-3p,NONMMUG005677.3,3
miR-17-5p,NONMMUG018615.2,3
miR-17-5p,NONMMUG004084.2,3
miR-17-5p,NONMMUG010287.2,3
miR-17-5p,NONMMUG021081.2,3
miR-17-5p,NONMMUG038049.2,4
miR-17-5p,NONMMUG081423.1,3
miR-17-5p,NONMMUG015569.3,3
miR-17-5p,NONMMUG029868.3,3
miR-25-3p,ENSMUSG00000095332,3
miR-25-3p,NONMMUG029262.3,4
miR-25-3p,NONMMUG035013.2,3
miR-25-3p,NONMMUG038314.3,3
miR-25-3p,NONMMUG035335.3,3
miR-182-5p,NONMMUG011676.2,3
miR-223-3p,NONMMUG004888.2,3
miR-223-3p,NONMMUG037564.2,3
miR-223-3p,NONMMUG019995.2,3
miR-223-3p,NONMMUG039853.3,3
miR-128-3p,NONMMUG009325.3,3
miR-128-3p,NONMMUG021614.2,3
miR-128-3p,NONMMUG001802.2,3
miR-128-3p,NONMMUG021079.2,3
miR-128-3p,NONMMUG067335.1,10
miR-128-3p,NONMMUG077936.1,3
miR-128-3p,NONMMUG084236.1,19
miR-128-3p,NONMMUG035335.3,3
miR-139-5p,NONMMUG039883.2,3
miR-183-5p,NONMMUG026289.2,3
miR-183-5p,NONMMUG067335.1,6
miR-183-5p,NONMMUG032651.2,4
miR-183-5p,NONMMUG077936.1,3
miR-183-5p,NONMMUG045662.3,3
miR-101a-3p,NONMMUG026043.2,3
let-7-5p,NONMMUG034580.3,3
miR-15-5p,NONMMUG084608.2,3
miR-15-5p,NONMMUG032557.2,3
miR-15-5p,NONMMUG035402.2,4
miR-15-5p,NONMMUG015569.3,3
miR-15-5p,NONMMUG033067.3,3
