#maxlength trans of genes
gene_id	trans_id	maxlength	exon_num
NONMMUG018939.2	NONMMUT030712.2	2582	4
NONMMUG029873.2	NONMMUT048179.2	3502	3
NONMMUG011390.2	NONMMUT018236.2	1208	1
NONMMUG025215.2	NONMMUT040672.2	323	1
NONMMUG024422.2	NONMMUT039500.2	386	1
NONMMUG081128.2	NONMMUT152299.1	3230	2
NONMMUG052641.1	NONMMUT084526.1	1511	1
NONMMUG095691.1	NONMMUT152470.1	2571	1
NONMMUG041981.2	NONMMUT131900.1	454	2
NONMMUG040297.2	NONMMUT065198.2	2121	5
NONMMUG009766.2	NONMMUT015390.2	4791	4
NONMMUG039341.2	NONMMUT063701.2	3980	3
NONMMUG065617.1	NONMMUT104922.1	4311	1
NONMMUG020083.2	NONMMUT032610.2	1778	3
NONMMUG005670.2	NONMMUT009139.2	1860	2
NONMMUG045553.2	NONMMUT073434.2	2037	3
NONMMUG050112.1	NONMMUT080541.1	290	3
NONMMUG033869.2	NONMMUT121434.1	3506	8
NONMMUG044241.3	NONMMUT135593.1	4091	3
NONMMUG007402.2	NONMMUT011690.2	602	2
NONMMUG076364.1	NONMMUT121783.1	2193	1
NONMMUG018364.2	NONMMUT029728.2	2954	5
NONMMUG044726.2	NONMMUT072170.2	394	1
NONMMUG044243.2	NONMMUT071409.2	1266	3
NONMMUG015186.2	NONMMUT097549.1	1372	7
NONMMUG063009.1	NONMMUT100735.1	1825	1
NONMMUG023449.2	NONMMUT037973.2	1911	2
NONMMUG012105.2	NONMMUT019506.2	798	1
NONMMUG032078.3	NONMMUT051714.2	10682	2
NONMMUG004414.3	NONMMUT140178.1	1349	1
NONMMUG001724.2	NONMMUT078815.1	1066	6
NONMMUG041458.2	NONMMUT129320.1	766	2
NONMMUG050833.1	NONMMUT081661.1	275	2
NONMMUG026522.2	NONMMUT042956.2	3814	1
NONMMUG052635.1	NONMMUT084519.1	1447	1
NONMMUG046527.1	NONMMUT075054.1	510	3
NONMMUG038238.3	NONMMUT061897.2	4500	2
NONMMUG007403.2	NONMMUT011691.2	778	2
NONMMUG077093.1	NONMMUT122905.1	891	2
NONMMUG031025.2	NONMMUT050105.2	3660	2
NONMMUG022028.2	NONMMUT035825.2	3477	1
NONMMUG012101.2	NONMMUT019502.2	2481	1
NONMMUG015595.2	NONMMUT025197.2	2942	2
NONMMUG090307.1	NONMMUT143450.1	2941	1
ENSMUSG00000117528	ENSMUST00000234695	631	2
NONMMUG016716.2	NONMMUT026966.2	1350	1
NONMMUG018032.2	NONMMUT102021.1	4335	3
NONMMUG040264.2	NONMMUT128433.1	1241	1
NONMMUG076174.1	NONMMUT121471.1	724	1
NONMMUG033466.2	NONMMUT053982.2	473	2
NONMMUG092117.1	NONMMUT146331.1	582	1
NONMMUG010906.2	NONMMUT017378.2	5210	2
NONMMUG095084.1	NONMMUT151341.1	374	2
ENSMUSG00000026736	ENSMUST00000238778	1462	1
NONMMUG043979.3	NONMMUT153467.1	6103	1
NONMMUG017640.2	NONMMUT028488.2	2252	2
NONMMUG093179.1	NONMMUT148146.1	3160	2
NONMMUG001098.2	NONMMUT078099.1	648	3
NONMMUG018818.2	NONMMUT030424.2	2943	2
NONMMUG030522.2	NONMMUT049295.2	240	1
NONMMUG041210.2	NONMMUT066575.2	409	2
NONMMUG007574.2	NONMMUT011989.2	3467	1
NONMMUG005067.2	NONMMUT008186.2	2017	1
NONMMUG084608.2	NONMMUT068826.2	3233	2
NONMMUG091976.1	NONMMUT146115.1	2410	1
NONMMUG027260.2	NONMMUT044172.2	956	4
NONMMUG094722.1	NONMMUT150688.1	1792	2
NONMMUG013737.2	NONMMUT022151.2	3388	2
NONMMUG004514.2	NONMMUT007036.2	2855	2
NONMMUG076173.2	NONMMUT149755.1	810	1
NONMMUG013732.2	NONMMUT022135.2	1016	3
NONMMUG028575.2	NONMMUT046281.2	1798	5
NONMMUG062848.1	NONMMUT100461.1	1147	1
NONMMUG088009.1	NONMMUT139270.1	2083	1
NONMMUG011873.3	NONMMUT142532.1	2873	5
NONMMUG094227.1	NONMMUT149885.1	524	2
NONMMUG034474.3	NONMMUT119847.1	8659	18
NONMMUG041833.2	NONMMUT067525.2	1979	2
NONMMUG041536.2	NONMMUT131589.1	2355	7
NONMMUG060556.1	NONMMUT096890.1	2807	1
NONMMUG006319.2	NONMMUT010072.2	1449	2
NONMMUG074734.1	NONMMUT119104.1	674	1
NONMMUG089129.1	NONMMUT141297.1	431	1
NONMMUG044366.2	NONMMUT071624.2	2699	1
NONMMUG032550.2	NONMMUT052417.2	6581	2
NONMMUG022192.2	NONMMUT036058.2	1545	1
NONMMUG031775.2	NONMMUT051264.2	2199	1
NONMMUG044264.3	NONMMUT154134.1	5282	1
NONMMUG055675.1	NONMMUT089366.1	584	4
NONMMUG029808.3	NONMMUT148547.1	7113	3
NONMMUG006435.2	NONMMUT010244.2	1269	2
